400, PA5-E-Debug-Output.txt
 -112.6304,   140.0262,   -40.3412,     2.5057,   -88.4503,    11.6892
   18.0315    -1.7928    57.9378    18.4190    -2.1711    57.8871     0.5439
  -45.4742    -4.3622   -34.2115   -45.6269    -4.3741   -33.9245     0.3253
   24.5596    17.4600   -13.1267    24.3884    17.7790   -13.0871     0.3642
  -27.4399    -6.1986   -11.7870   -27.4412    -6.2824   -11.6198     0.1870
  -44.6159    -4.8254   -36.9704   -44.7808    -4.8065   -36.6942     0.3222
  -10.5268     2.9484   -29.9167   -10.6974     3.1556   -29.7870     0.2981
   29.0117    12.6922   -10.4871    28.8943    13.0171   -10.5156     0.3466
  -18.3880     4.1814   -42.1676   -18.6423     4.4424   -41.9831     0.4084
   -0.0043   -11.6612    10.0727     0.1742   -11.7455    10.0288     0.2022
   34.7257     0.9916     5.6152    34.7942     1.2066     5.4572     0.2754
   31.6209    -1.2323   -17.6601    31.5702    -0.8317   -17.8286     0.4375
  -41.9135   -23.7464   -23.4297   -41.8528   -23.8403   -23.3272     0.1517
   19.4645    12.8739    50.0133    19.6934    12.5854    50.0761     0.3736
  -40.3896    -2.8228   -41.0497   -40.5920    -2.7354   -40.7851     0.3444
   -2.0560   -12.6011    -2.9387    -1.9467   -12.5838    -2.9839     0.1195
   28.0591    14.9319    -9.2781    27.9311    15.2402    -9.2806     0.3339
   -1.9054   -10.2017    24.5405    -1.6549   -10.4290    24.5282     0.3385
  -39.5494    -1.2165   -17.2270   -39.6254    -1.3364   -16.9425     0.3180
   35.7553     3.7771     2.7944    35.7864     4.0265     2.6526     0.2886
   21.5845     1.1826    40.8276    21.8510     0.9857    40.7718     0.3361
  -22.8478   -31.7548   -30.2242   -22.7575   -31.6537   -30.3152     0.1633
   27.2920    14.8794   -11.7542    27.1497    15.2044   -11.7535     0.3548
   -2.4787    14.7728    -6.5012    -2.6012    14.8344    -6.3096     0.2356
   14.7417    -4.9282    57.3812    15.1488    -5.3271    57.3241     0.5728
  -29.4250   -26.8388   -42.7196   -29.4477   -26.6702   -42.7324     0.1705
  -10.3308   -23.2909   -33.1219   -10.3177   -23.0681   -33.2210     0.2442
  -19.8989     7.4830    32.8160   -19.7436     7.0605    33.0744     0.5190
   18.7168     7.1059   -33.1672    18.5067     7.5569   -33.1892     0.4980
  -23.7326   -31.7117   -27.6033   -23.6277   -31.6405   -27.6870     0.1519
  -31.9386     6.3440   -35.7579   -32.1776     6.4502   -35.4656     0.3922
   -7.4096    -5.9925   -35.8399    -7.5445    -5.7144   -35.8098     0.3105
   18.6513    14.6131    51.7625    18.8767    14.3040    51.8462     0.3916
   26.7282    14.3963     7.9757    26.7040    14.5395     7.9852     0.1455
  -43.8357    -3.6627   -22.2618   -43.9238    -3.7699   -21.9735     0.3199
  -44.1902    -2.3350   -24.8341   -44.3036    -2.4208   -24.5334     0.3327
   16.2519    16.6958    55.1268    16.4799    16.3402    55.2453     0.4387
  -42.9312   -23.7659   -31.6654   -42.9186   -23.7931   -31.5606     0.1091
   30.3085    -4.1626   -18.9782    30.2722    -3.7614   -19.1642     0.4438
  -19.1852     4.7474    22.8774   -19.0663     4.4179    23.1029     0.4166
    7.7779    18.1230    36.0748     7.8809    17.8781    36.2504     0.3185
   12.7476    -6.8815    29.1609    13.0050    -7.0422    29.0862     0.3125
   -2.3199    14.1105    66.8236    -2.0113    13.5135    67.0436     0.7072
   25.4427    11.6999   -21.1806    25.2694    12.0945   -21.2001     0.4314
    0.9394   -10.6911   -27.6605     0.8915   -10.4286   -27.7201     0.2734
   20.6100    -0.4147   -32.2929    20.4637     0.0380   -32.3913     0.4858
   -6.8453     0.8208    64.7918    -6.4478     0.2017    64.9251     0.7476
    0.7997    20.1901     0.0726     0.6750    20.2195     0.2932     0.2551
   -8.3191   -12.5073    -0.2805    -8.1975   -12.5593    -0.2837     0.1323
  -23.4023    -7.2179   -48.9168   -23.6098    -6.9390   -48.8018     0.3662
  -32.5957   -14.6556   -10.6056   -32.5269   -14.7921   -10.4779     0.1992
  -40.8883    -0.3374   -36.9065   -41.0859    -0.2896   -36.6153     0.3551
  -36.5298   -27.1751   -20.9413   -36.4261   -27.2542   -20.9014     0.1363
  -23.3285   -15.8397    -8.4968   -23.2348   -15.9286    -8.4372     0.1422
  -12.2746   -26.4537   -34.0998   -12.2435   -26.2380   -34.2142     0.2461
    1.0205    -8.3555   -27.2724     0.9569    -8.0945   -27.3122     0.2715
   19.7087    20.2175   -16.6454    19.4939    20.5344   -16.5528     0.3939
   -3.5212   -17.4383   -18.6786    -3.4667   -17.2927   -18.7637     0.1772
   27.9109    14.5793     7.1809    27.8811    14.7383     7.1841     0.1618
  -47.7933   -11.0433   -27.4451   -47.8561   -11.1367   -27.1977     0.2718
  -35.6222   -28.8529   -30.3306   -35.5598   -28.8419   -30.3154     0.0651
   -7.5208   -15.2885   -38.5059    -7.5995   -14.9924   -38.5565     0.3105
  -30.2104     5.4484   -19.3510   -30.3465     5.4191   -19.0696     0.3140
  -20.1996   -22.1474   -45.9241   -20.2735   -21.8804   -45.9566     0.2789
   19.7851   -12.2778    -5.8777    19.8833   -12.0753    -6.0604     0.2899
   12.9197   -11.9805   -26.2709    12.8945   -11.6442   -26.4171     0.3675
  -14.7331   -10.4619     2.8539   -14.6116   -10.5875     2.9106     0.1837
