400, PA5-F-Debug-Output.txt
  -10.3658,    11.3366,    -3.7205,    -4.5358,    -6.7626,    -3.2128
   10.0093    -7.5405    46.6208    10.2166    -7.5623    46.5691     0.2147
   14.2240    20.1922    32.2998    14.3550    20.1857    32.2528     0.1393
    2.5815    21.2206    28.5568     2.6944    21.2120    28.5610     0.1133
  -29.0826   -25.6972   -39.4074   -29.2445   -25.6590   -39.3144     0.1905
   -0.7338     2.3546   -23.3012    -0.8370     2.3917   -23.3051     0.1098
  -26.2397   -32.0349   -26.4161   -26.3414   -32.0073   -26.3398     0.1301
   -9.9038   -29.5823   -27.4892   -10.0097   -29.5459   -27.4820     0.1122
  -30.0351   -17.4998    -8.0101   -30.0646   -17.4908    -7.9023     0.1122
   20.5072   -15.0685    -1.3982    20.5106   -15.0415    -1.5077     0.1128
   24.3853    11.5206    50.1815    24.5996    11.5025    50.0844     0.2360
   25.6432    14.5083    32.2365    25.7780    14.5072    32.1347     0.1690
   36.7358     2.0839    19.3011    36.8220     2.0999    19.1385     0.1847
    6.9700    22.0767    10.3851     7.0039    22.0867    10.3689     0.0388
   -5.1530   -22.1794   -34.1719    -5.2913   -22.1346   -34.1795     0.1456
   18.7785    -2.9005    60.2334    19.0434    -2.9306    60.1491     0.2797
   27.6082    10.0060   -31.2576    27.4693    10.0639   -31.3789     0.1933
  -30.7680   -12.0798   -42.1765   -30.9492   -12.0398   -42.0645     0.2167
   18.9031    -3.5447    56.1395    19.1506    -3.5709    56.0536     0.2633
   14.8208    -7.7593    22.9646    14.9257    -7.7571    22.8891     0.1293
   20.6537    15.6712    44.9259    20.8426    15.6561    44.8483     0.2048
   32.3286    18.6909   -10.4152    32.2764    18.7321   -10.5471     0.1477
   -7.3614    -5.7439    50.1632    -7.1415    -5.7772    50.1891     0.2238
   -5.6007   -18.1644   -13.1985    -5.6499   -18.1390   -13.1983     0.0554
   -0.9448    22.0742    24.0251    -0.8524    22.0680    24.0449     0.0947
  -12.4787     5.1043    -5.0472   -12.5052     5.1191    -4.9954     0.0600
   -3.3264    -4.9100   -38.1318    -3.4908    -4.8607   -38.1325     0.1716
   -6.4075    12.4980    59.3040    -6.1572    12.4569    59.3430     0.2566
    2.5631   -16.0389   -20.7679     2.4807   -16.0026   -20.8022     0.0963
  -16.3713    -1.4003     9.9875   -16.3295    -1.4011    10.0521     0.0770
   -1.3297    11.6230    -8.8307    -1.3749    11.6467    -8.8220     0.0517
  -35.3623    -6.3614   -11.3334   -35.4127    -6.3518   -11.1928     0.1496
   29.0259    20.3166     7.5573    29.0507    20.3397     7.4432     0.1190
   -3.2267   -16.8201   -31.8944    -3.3577   -16.7765   -31.9054     0.1385
   25.7212    18.6868   -27.6979    25.5931    18.7405   -27.8029     0.1741
  -30.6746   -29.7360   -19.5458   -30.7481   -29.7168   -19.4474     0.1243
  -39.6811   -22.1169   -20.0483   -39.7617   -22.1015   -19.9039     0.1661
   25.8662    13.8014    34.1684    26.0098    13.7987    34.0652     0.1769
   -9.6126     8.5117    39.6754    -9.4461     8.4870    39.7226     0.1749
   22.5438   -15.6720    -3.1612    22.5400   -15.6423    -3.2803     0.1227
   20.8852   -14.2387   -17.6475    20.8174   -14.1966   -17.7597     0.1376
   19.0288    15.5136   -33.6436    18.8758    15.5697   -33.7229     0.1812
    5.0197    19.9637    57.3569     5.2589    19.9299    57.3525     0.2415
   -7.7229   -27.6781   -28.5698    -7.8343   -27.6397   -28.5705     0.1178
   41.6788     2.4319    -6.8600    41.6515     2.4742    -7.0467     0.1933
   12.7955    17.2005   -19.6410    12.7018    17.2407   -19.6901     0.1131
   21.8371   -10.1020   -20.7004    21.7540   -10.0566   -20.8134     0.1474
   -2.4722   -16.4392   -29.0896    -2.5911   -16.3978   -29.1033     0.1266
  -22.5166     4.5613   -17.7889   -22.5994     4.5830   -17.6953     0.1268
   -6.9149   -19.9195   -14.2152    -6.9677   -19.8938   -14.2109     0.0589
   17.7075    -5.2999    46.6331    17.9145    -5.3180    46.5498     0.2238
  -17.0151    -1.7603     7.9519   -16.9820    -1.7596     8.0188     0.0746
   39.1246    -5.7702    15.3322    39.1978    -5.7496    15.1518     0.1958
   12.7830     9.0953   -14.6963    12.7151     9.1310   -14.7520     0.0948
   16.7725   -17.8254   -12.4659    16.7287   -17.7900   -12.5628     0.1120
   -8.2459   -22.0220   -14.2225    -8.2979   -21.9970   -14.2143     0.0582
